Timestamp,ElapsedSeconds,Signal,RxRate,TxRate,Channel
2026-03-06T12:45:06.193,0.2,99,1201,1201,36
2026-03-06T12:45:11.321,5.3,99,1081,817,36
2026-03-06T12:45:16.443,10.4,99,1081,1134,36
2026-03-06T12:45:21.585,15.6,99,1081,1134,36
2026-03-06T12:45:26.738,20.7,99,1081,1134,36
2026-03-06T12:45:31.836,25.8,99,1201,1134,36
2026-03-06T12:45:37.271,31.3,99,1201,1134,36
2026-03-06T12:45:42.733,36.7,99,1081,1201,36
2026-03-06T12:45:47.848,41.8,99,1081,1201,36
2026-03-06T12:45:52.946,46.9,99,1201,1201,36
2026-03-06T12:45:58.043,52,99,1201,1201,36
2026-03-06T12:46:03.145,57.1,99,1201,1201,36
2026-03-06T12:46:08.246,62.2,99,1201,1201,36
2026-03-06T12:46:13.339,67.3,99,1201,1201,36
2026-03-06T12:46:18.433,72.4,99,1201,1201,36
2026-03-06T12:46:23.536,77.5,99,1201,1201,36
2026-03-06T12:46:28.642,82.6,99,1201,1201,36
2026-03-06T12:46:33.744,87.7,99,1201,1201,36
2026-03-06T12:46:38.836,92.8,99,1201,1201,36
2026-03-06T12:46:43.943,97.9,99,1201,1201,36
2026-03-06T12:46:49.053,103,99,1201,1201,36
2026-03-06T12:46:54.142,108.1,99,1201,1201,36
2026-03-06T12:46:59.241,113.2,99,1201,1201,36
2026-03-06T12:47:04.344,118.3,99,1201,1201,36
2026-03-06T12:47:09.435,123.4,99,1201,1201,36
2026-03-06T12:47:14.540,128.5,99,1201,1201,36
