Timestamp,ElapsedSeconds,BytesTransferred,BytesTotal,PercentComplete,JobState
2026-03-06T12:45:05.852,1,1120,524288000,0,Transferring
2026-03-06T12:45:06.871,2.1,2609,524288000,0,Transferring
2026-03-06T12:45:07.897,3.1,5964,524288000,0,Transferring
2026-03-06T12:45:08.920,4.1,15089,524288000,0,Transferring
2026-03-06T12:45:09.932,5.1,35887,524288000,0,Transferring
2026-03-06T12:45:10.958,6.1,79356,524288000,0,Transferring
2026-03-06T12:45:11.982,7.2,167459,524288000,0,Transferring
2026-03-06T12:45:13.006,8.2,343654,524288000,0.1,Transferring
2026-03-06T12:45:14.027,9.2,707590,524288000,0.1,Transferring
2026-03-06T12:45:15.050,10.2,1079239,524288000,0.2,Transferring
2026-03-06T12:45:16.070,11.3,2459907,524288000,0.5,Transferring
2026-03-06T12:45:17.085,12.3,5118497,524288000,1,Transferring
2026-03-06T12:45:18.111,13.3,5118497,524288000,1,Transferring
2026-03-06T12:45:19.139,14.3,10993969,524288000,2.1,Transferring
2026-03-06T12:45:20.172,15.4,22774594,524288000,4.3,Transferring
2026-03-06T12:45:21.189,16.4,44089537,524288000,8.4,Transferring
2026-03-06T12:45:22.215,17.4,67915457,524288000,13,Transferring
2026-03-06T12:45:23.232,18.4,94518817,524288000,18,Transferring
2026-03-06T12:45:24.254,19.4,124545751,524288000,23.8,Transferring
2026-03-06T12:45:25.285,20.5,154473939,524288000,29.5,Transferring
2026-03-06T12:45:26.302,21.5,184830531,524288000,35.3,Transferring
2026-03-06T12:45:27.341,22.5,215810977,524288000,41.2,Transferring
2026-03-06T12:45:28.359,23.5,215810977,524288000,41.2,Transferring
2026-03-06T12:45:29.372,24.6,246952159,524288000,47.1,Transferring
2026-03-06T12:45:30.388,25.6,295708067,524288000,56.4,Transferring
2026-03-06T12:45:31.405,26.6,295708067,524288000,56.4,Transferring
2026-03-06T12:45:32.428,27.6,326306885,524288000,62.2,Transferring
2026-03-06T12:45:33.484,28.6,346614913,524288000,66.1,Transferring
2026-03-06T12:45:34.540,29.7,367150087,524288000,70,Transferring
2026-03-06T12:45:35.599,30.8,367150087,524288000,70,Transferring
2026-03-06T12:45:36.659,31.8,393663875,524288000,75.1,Transferring
2026-03-06T12:45:37.686,32.9,408162924,524288000,77.9,Transferring
2026-03-06T12:45:38.709,33.9,419828194,524288000,80.1,Transferring
2026-03-06T12:45:39.738,34.9,444279376,524288000,84.7,Transferring
2026-03-06T12:45:40.755,35.9,468112378,524288000,89.3,Transferring
2026-03-06T12:45:41.778,37,495808770,524288000,94.6,Transferring
2026-03-06T12:45:42.837,38,495808770,524288000,94.6,Transferring
2026-03-06T12:45:43.887,39,495808770,524288000,94.6,Transferring
2026-03-06T12:45:44.918,40.1,524288000,524288000,100,Transferred
