Timestamp,ElapsedSeconds,BytesTransferred,BytesTotal,PercentComplete,JobState
2026-03-06T13:04:48.651,1,1120,524288000,0,Transferring
2026-03-06T13:04:49.682,2.1,2609,524288000,0,Transferring
2026-03-06T13:04:50.708,3.1,5978,524288000,0,Transferring
2026-03-06T13:04:51.724,4.1,14666,524288000,0,Transferring
2026-03-06T13:04:52.761,5.1,35784,524288000,0,Transferring
2026-03-06T13:04:53.782,6.2,79090,524288000,0,Transferring
2026-03-06T13:04:54.809,7.2,166553,524288000,0,Transferring
2026-03-06T13:04:55.834,8.2,344772,524288000,0.1,Transferring
2026-03-06T13:04:56.849,9.2,704122,524288000,0.1,Transferring
2026-03-06T13:04:57.871,10.3,1178985,524288000,0.2,Transferring
2026-03-06T13:04:58.893,11.3,2651891,524288000,0.5,Transferring
2026-03-06T13:04:59.911,12.3,5225881,524288000,1,Transferring
2026-03-06T13:05:00.926,13.3,5225881,524288000,1,Transferring
2026-03-06T13:05:01.956,14.3,10411954,524288000,2,Transferring
2026-03-06T13:05:02.979,15.4,18078549,524288000,3.4,Transferring
2026-03-06T13:05:03.996,16.4,25142869,524288000,4.8,Transferring
2026-03-06T13:05:05.024,17.4,32229857,524288000,6.1,Transferring
2026-03-06T13:05:06.039,18.4,39699154,524288000,7.6,Transferring
2026-03-06T13:05:07.071,19.4,49851977,524288000,9.5,Transferring
2026-03-06T13:05:08.083,20.5,68595856,524288000,13.1,Transferring
2026-03-06T13:05:09.099,21.5,92893126,524288000,17.7,Transferring
2026-03-06T13:05:10.135,22.5,119912008,524288000,22.9,Transferring
2026-03-06T13:05:11.184,23.5,119912008,524288000,22.9,Transferring
2026-03-06T13:05:12.225,24.6,147498644,524288000,28.1,Transferring
2026-03-06T13:05:13.274,25.6,147498644,524288000,28.1,Transferring
2026-03-06T13:05:14.315,26.7,173662230,524288000,33.1,Transferring
2026-03-06T13:05:15.341,27.7,188189148,524288000,35.9,Transferring
2026-03-06T13:05:16.371,28.7,199827010,524288000,38.1,Transferring
2026-03-06T13:05:17.386,29.8,214735122,524288000,41,Transferring
2026-03-06T13:05:18.410,30.8,231228641,524288000,44.1,Transferring
2026-03-06T13:05:19.424,31.8,258628535,524288000,49.3,Transferring
2026-03-06T13:05:20.457,32.8,284727943,524288000,54.3,Transferring
2026-03-06T13:05:21.476,33.9,284727943,524288000,54.3,Transferring
2026-03-06T13:05:22.497,34.9,336791185,524288000,64.2,Transferring
2026-03-06T13:05:23.515,35.9,336791185,524288000,64.2,Transferring
2026-03-06T13:05:24.535,36.9,366909193,524288000,70,Transferring
2026-03-06T13:05:25.559,37.9,395612227,524288000,75.5,Transferring
2026-03-06T13:05:26.586,39,412773059,524288000,78.7,Transferring
2026-03-06T13:05:27.610,40,440064111,524288000,83.9,Transferring
2026-03-06T13:05:28.659,41,469449571,524288000,89.5,Transferring
2026-03-06T13:05:29.719,42.1,469449571,524288000,89.5,Transferring
2026-03-06T13:05:30.781,43.1,486227771,524288000,92.7,Transferring
2026-03-06T13:05:31.846,44.2,500078820,524288000,95.4,Transferring
2026-03-06T13:05:32.879,45.3,511352205,524288000,97.5,Transferring
2026-03-06T13:05:33.904,46.3,524288000,524288000,100,Transferred
