Timestamp,ElapsedSeconds,Signal,RxRate,TxRate,Channel
2026-03-06T13:01:05.875,0.2,99,1201,1201,36
2026-03-06T13:01:10.981,5.3,99,1081,1134,36
2026-03-06T13:01:16.073,10.4,99,1081,1134,36
2026-03-06T13:01:21.162,15.5,99,1081,1134,36
2026-03-06T13:01:26.265,20.6,99,1081,1134,36
2026-03-06T13:01:31.386,25.7,99,1081,1134,36
2026-03-06T13:01:36.571,30.9,99,1201,1134,36
2026-03-06T13:01:41.683,36,99,1201,1134,36
2026-03-06T13:01:46.793,41.1,99,1201,1134,36
2026-03-06T13:01:51.904,46.2,99,1081,1201,36
2026-03-06T13:01:56.994,51.3,99,1201,1201,36
2026-03-06T13:02:02.097,56.4,99,1201,1201,36
2026-03-06T13:02:07.190,61.5,99,1201,1201,36
2026-03-06T13:02:12.280,66.6,99,1201,1201,36
2026-03-06T13:02:17.380,71.7,99,1201,1201,36
2026-03-06T13:02:22.481,76.8,99,1201,1201,36
2026-03-06T13:02:27.599,81.9,99,1201,1201,36
2026-03-06T13:02:32.704,87,99,1201,1201,36
2026-03-06T13:02:37.795,92.1,99,1201,1201,36
2026-03-06T13:02:42.887,97.2,99,1201,1201,36
2026-03-06T13:02:47.986,102.3,99,1201,1201,36
2026-03-06T13:02:53.083,107.4,99,1201,1201,36
2026-03-06T13:02:58.193,112.5,99,1201,1201,36
2026-03-06T13:03:03.293,117.6,99,1201,1201,36
2026-03-06T13:03:08.396,122.7,99,1201,1201,36
2026-03-06T13:03:13.511,127.8,99,1201,1201,36
