Timestamp,ElapsedSeconds,BytesTransferred,BytesTotal,PercentComplete,JobState
2026-03-06T12:27:07.369,1,0,524288000,0,Connecting
2026-03-06T12:27:08.418,2.1,24266418,524288000,4.6,Transferring
2026-03-06T12:27:09.471,3.1,24266418,524288000,4.6,Transferring
2026-03-06T12:27:10.527,4.2,51146862,524288000,9.8,Transferring
2026-03-06T12:27:11.576,5.2,65293369,524288000,12.5,Transferring
2026-03-06T12:27:12.604,6.3,77266209,524288000,14.7,Transferring
2026-03-06T12:27:13.629,7.3,92861772,524288000,17.7,Transferring
2026-03-06T12:27:14.655,8.3,114294230,524288000,21.8,Transferring
2026-03-06T12:27:15.682,9.3,140708604,524288000,26.8,Transferring
2026-03-06T12:27:16.701,10.4,168855916,524288000,32.2,Transferring
2026-03-06T12:27:17.719,11.4,187141332,524288000,35.7,Transferring
2026-03-06T12:27:18.754,12.4,216335350,524288000,41.3,Transferring
2026-03-06T12:27:19.777,13.4,245542352,524288000,46.8,Transferring
2026-03-06T12:27:20.816,14.5,274961604,524288000,52.4,Transferring
2026-03-06T12:27:21.870,15.5,274961604,524288000,52.4,Transferring
2026-03-06T12:27:22.913,16.6,274961604,524288000,52.4,Transferring
2026-03-06T12:27:23.972,17.6,301982594,524288000,57.6,Transferring
2026-03-06T12:27:24.994,18.7,329040360,524288000,62.8,Transferring
2026-03-06T12:27:26.024,19.7,346973664,524288000,66.2,Transferring
2026-03-06T12:27:27.046,20.7,370692710,524288000,70.7,Transferring
2026-03-06T12:27:28.065,21.7,370692710,524288000,70.7,Transferring
2026-03-06T12:27:29.086,22.7,398477420,524288000,76,Transferring
2026-03-06T12:27:30.114,23.8,423514958,524288000,80.8,Transferring
2026-03-06T12:27:31.129,24.8,449825252,524288000,85.8,Transferring
2026-03-06T12:27:32.147,25.8,476363826,524288000,90.9,Transferring
2026-03-06T12:27:33.174,26.8,505721192,524288000,96.5,Transferring
2026-03-06T12:27:34.199,27.9,524288000,524288000,100,Transferred
