Timestamp,ElapsedSeconds,Signal,RxRate,TxRate,Channel
2026-03-06T12:19:51.101,0.3,99,1201,1201,36
2026-03-06T12:19:56.303,5.5,99,1201,1201,36
2026-03-06T12:20:01.450,10.6,99,1201,1201,36
2026-03-06T12:20:06.943,16.1,99,1201,1201,36
2026-03-06T12:20:12.045,21.2,99,1201,1201,36
2026-03-06T12:20:17.297,26.5,99,1201,1201,36
2026-03-06T12:20:22.400,31.6,99,1201,1201,36
2026-03-06T12:20:27.527,36.7,99,1201,1201,36
2026-03-06T12:20:32.645,41.8,99,1201,1201,36
2026-03-06T12:20:37.749,46.9,99,1201,1201,36
2026-03-06T12:20:42.836,52,99,1201,1201,36
2026-03-06T12:20:47.929,57.1,99,1201,1201,36
2026-03-06T12:20:53.019,62.2,99,1201,1201,36
2026-03-06T12:20:58.108,67.3,99,1201,1201,36
2026-03-06T12:21:03.219,72.4,99,1201,1201,36
2026-03-06T12:21:08.335,77.5,99,1201,1201,36
2026-03-06T12:21:13.473,82.7,99,1201,1201,36
2026-03-06T12:21:18.563,87.8,99,1201,1201,36
2026-03-06T12:21:23.662,92.9,99,1201,1201,36
2026-03-06T12:21:28.759,97.9,99,1201,1201,36
2026-03-06T12:21:33.854,103,99,1201,1201,36
2026-03-06T12:21:38.965,108.2,99,1201,1201,36
2026-03-06T12:21:44.061,113.3,99,1201,1201,36
2026-03-06T12:21:49.170,118.4,99,1201,1201,36
2026-03-06T12:21:54.271,123.5,99,1201,1201,36
2026-03-06T12:21:59.377,128.6,99,1201,1201,36
