Timestamp,ElapsedSeconds,BytesTransferred,BytesTotal,PercentComplete,JobState
2026-03-06T12:19:50.392,1,17117222,524288000,3.3,Transferring
2026-03-06T12:19:51.406,2,31232688,524288000,6,Transferring
2026-03-06T12:19:52.457,3.1,45078997,524288000,8.6,Transferring
2026-03-06T12:19:53.487,4.1,67225363,524288000,12.8,Transferring
2026-03-06T12:19:54.517,5.1,92327083,524288000,17.6,Transferring
2026-03-06T12:19:55.553,6.2,121358797,524288000,23.1,Transferring
2026-03-06T12:19:56.577,7.2,121358797,524288000,23.1,Transferring
2026-03-06T12:19:57.600,8.2,151759983,524288000,28.9,Transferring
2026-03-06T12:19:58.634,9.3,181524845,524288000,34.6,Transferring
2026-03-06T12:19:59.649,10.3,211696031,524288000,40.4,Transferring
2026-03-06T12:20:00.677,11.3,241520547,524288000,46.1,Transferring
2026-03-06T12:20:01.701,12.3,271867227,524288000,51.9,Transferring
2026-03-06T12:20:02.739,13.4,298715843,524288000,57,Transferring
2026-03-06T12:20:03.770,14.4,324381491,524288000,61.9,Transferring
2026-03-06T12:20:04.797,15.4,350778107,524288000,66.9,Transferring
2026-03-06T12:20:05.850,16.4,378754205,524288000,72.2,Transferring
2026-03-06T12:20:06.905,17.5,378754205,524288000,72.2,Transferring
2026-03-06T12:20:07.963,18.6,405882269,524288000,77.4,Transferring
2026-03-06T12:20:09.016,19.6,405882269,524288000,77.4,Transferring
2026-03-06T12:20:10.045,20.7,432825002,524288000,82.6,Transferring
2026-03-06T12:20:11.059,21.7,450056026,524288000,85.8,Transferring
2026-03-06T12:20:12.094,22.7,475099462,524288000,90.6,Transferring
2026-03-06T12:20:13.119,23.7,500339568,524288000,95.4,Transferring
2026-03-06T12:20:14.154,24.8,519116376,524288000,99,Transferring
2026-03-06T12:20:15.203,25.8,524288000,524288000,100,Transferred
