Timestamp,ElapsedSeconds,BytesTransferred,BytesTotal,PercentComplete,JobState
2026-03-06T13:18:33.352,1,1120,524288000,0,Transferring
2026-03-06T13:18:34.367,2.1,1476,524288000,0,Transferring
2026-03-06T13:18:35.398,3.1,5339,524288000,0,Transferring
2026-03-06T13:18:36.417,4.1,14614,524288000,0,Transferring
2026-03-06T13:18:37.432,5.1,34532,524288000,0,Transferring
2026-03-06T13:18:38.448,6.1,51412,524288000,0,Transferring
2026-03-06T13:18:39.466,7.2,141756,524288000,0,Transferring
2026-03-06T13:18:40.483,8.2,318557,524288000,0.1,Transferring
2026-03-06T13:18:41.501,9.2,548984,524288000,0.1,Transferring
2026-03-06T13:18:42.515,10.2,1277794,524288000,0.2,Transferring
2026-03-06T13:18:43.531,11.2,2211841,524288000,0.4,Transferring
2026-03-06T13:18:44.547,12.2,4145787,524288000,0.8,Transferring
2026-03-06T13:18:45.572,13.3,4145787,524288000,0.8,Transferring
2026-03-06T13:18:46.590,14.3,9976473,524288000,1.9,Transferring
2026-03-06T13:18:47.618,15.3,20820681,524288000,4,Transferring
2026-03-06T13:18:48.644,16.3,33582323,524288000,6.4,Transferring
2026-03-06T13:18:49.668,17.3,50899479,524288000,9.7,Transferring
2026-03-06T13:18:50.697,18.4,78185465,524288000,14.9,Transferring
2026-03-06T13:18:51.716,19.4,106874453,524288000,20.4,Transferring
2026-03-06T13:18:52.740,20.4,126029491,524288000,24,Transferring
2026-03-06T13:18:53.763,21.4,157731519,524288000,30.1,Transferring
2026-03-06T13:18:54.783,22.5,178324115,524288000,34,Transferring
2026-03-06T13:18:55.817,23.5,210217347,524288000,40.1,Transferring
2026-03-06T13:18:56.833,24.5,210217347,524288000,40.1,Transferring
2026-03-06T13:18:57.851,25.5,270531829,524288000,51.6,Transferring
2026-03-06T13:18:58.878,26.6,270531829,524288000,51.6,Transferring
2026-03-06T13:18:59.907,27.6,300991659,524288000,57.4,Transferring
2026-03-06T13:19:00.928,28.6,328383065,524288000,62.6,Transferring
2026-03-06T13:19:01.955,29.6,358323141,524288000,68.3,Transferring
2026-03-06T13:19:02.977,30.7,389890117,524288000,74.4,Transferring
2026-03-06T13:19:04.007,31.7,419416885,524288000,80,Transferring
2026-03-06T13:19:05.037,32.7,450954693,524288000,86,Transferring
2026-03-06T13:19:06.066,33.8,481565299,524288000,91.9,Transferring
2026-03-06T13:19:07.095,34.8,513558641,524288000,98,Transferring
2026-03-06T13:19:08.114,35.8,524288000,524288000,100,Transferred
