Timestamp,ElapsedSeconds,Signal,RxRate,TxRate,Channel
2026-03-06T13:18:32.436,0.2,99,1201,1201,36
2026-03-06T13:18:37.567,5.4,99,1201,1201,36
2026-03-06T13:18:42.661,10.4,99,1201,1201,36
2026-03-06T13:18:47.791,15.6,99,1201,1201,36
2026-03-06T13:18:52.928,20.7,99,1201,1201,36
2026-03-06T13:18:58.033,25.8,99,1201,1201,36
2026-03-06T13:19:03.236,31,99,1081,1201,36
2026-03-06T13:19:08.367,36.2,99,1081,1201,36
2026-03-06T13:19:13.465,41.2,99,1081,1201,36
2026-03-06T13:19:18.569,46.4,99,1201,1201,36
2026-03-06T13:19:23.661,51.4,99,1201,1201,36
2026-03-06T13:19:28.761,56.5,99,1201,1201,36
2026-03-06T13:19:33.853,61.6,99,1201,1201,36
2026-03-06T13:19:38.972,66.8,99,1201,1201,36
2026-03-06T13:19:44.110,71.9,99,1201,1201,36
2026-03-06T13:19:49.225,77,99,1201,1201,36
2026-03-06T13:19:54.342,82.1,99,1201,1201,36
2026-03-06T13:19:59.443,87.2,99,1201,1201,36
2026-03-06T13:20:04.531,92.3,99,1201,1201,36
2026-03-06T13:20:09.631,97.4,99,1201,1201,36
2026-03-06T13:20:14.732,102.5,99,1201,1201,36
2026-03-06T13:20:19.854,107.6,99,1201,1201,36
2026-03-06T13:20:24.977,112.8,99,1201,1201,36
2026-03-06T13:20:30.086,117.9,99,1201,1201,36
2026-03-06T13:20:35.208,123,99,1201,1201,36
2026-03-06T13:20:40.326,128.1,99,1201,1201,36
