Timestamp,ElapsedSeconds,Signal,RxRate,TxRate,Channel
2026-03-06T13:14:39.036,0.2,99,1201,1201,36
2026-03-06T13:14:44.141,5.3,99,1201,1201,36
2026-03-06T13:14:49.254,10.4,99,1081,1134,36
2026-03-06T13:14:54.360,15.5,99,961,1134,36
2026-03-06T13:14:59.511,20.7,99,961,1134,36
2026-03-06T13:15:04.983,26.2,99,961,1134,36
2026-03-06T13:15:10.110,31.3,99,961,1134,36
2026-03-06T13:15:15.255,36.4,99,1201,1201,36
2026-03-06T13:15:20.379,41.5,99,1201,1201,36
2026-03-06T13:15:25.496,46.7,99,1201,1201,36
2026-03-06T13:15:30.594,51.8,99,1201,1201,36
2026-03-06T13:15:35.705,56.9,99,1201,1201,36
2026-03-06T13:15:40.805,62,99,1201,1201,36
2026-03-06T13:15:45.918,67.1,99,1201,1201,36
2026-03-06T13:15:51.050,72.2,99,1201,1201,36
2026-03-06T13:15:56.206,77.4,99,1201,1201,36
2026-03-06T13:16:01.324,82.5,99,1201,1201,36
2026-03-06T13:16:06.418,87.6,99,1201,1201,36
2026-03-06T13:16:11.510,92.7,99,1201,1201,36
2026-03-06T13:16:16.624,97.8,99,1201,1201,36
2026-03-06T13:16:21.736,102.9,99,1201,1201,36
2026-03-06T13:16:26.857,108,99,1201,1201,36
2026-03-06T13:16:31.962,113.1,99,1201,1201,36
2026-03-06T13:16:37.059,118.2,99,1201,1201,36
2026-03-06T13:16:42.159,123.3,99,1201,1201,36
2026-03-06T13:16:47.251,128.4,99,1201,1201,36
