Timestamp,ElapsedSeconds,BytesTransferred,BytesTotal,PercentComplete,JobState
2026-03-06T12:34:39.640,1,19381630,524288000,3.7,Transferring
2026-03-06T12:34:40.651,2,42780470,524288000,8.2,Transferring
2026-03-06T12:34:41.670,3.1,67550348,524288000,12.9,Transferring
2026-03-06T12:34:42.691,4.1,67550348,524288000,12.9,Transferring
2026-03-06T12:34:43.714,5.1,95647230,524288000,18.2,Transferring
2026-03-06T12:34:44.732,6.1,124480994,524288000,23.7,Transferring
2026-03-06T12:34:45.752,7.1,153390074,524288000,29.3,Transferring
2026-03-06T12:34:46.774,8.2,182969568,524288000,34.9,Transferring
2026-03-06T12:34:47.801,9.2,228995984,524288000,43.7,Transferring
2026-03-06T12:34:48.820,10.2,228995984,524288000,43.7,Transferring
2026-03-06T12:34:49.837,11.2,259273388,524288000,49.5,Transferring
2026-03-06T12:34:50.857,12.2,291715476,524288000,55.6,Transferring
2026-03-06T12:34:51.904,13.3,323463602,524288000,61.7,Transferring
2026-03-06T12:34:52.961,14.3,323463602,524288000,61.7,Transferring
2026-03-06T12:34:54.008,15.4,354794852,524288000,67.7,Transferring
2026-03-06T12:34:55.070,16.4,372018152,524288000,71,Transferring
2026-03-06T12:34:56.106,17.5,385784834,524288000,73.6,Transferring
2026-03-06T12:34:57.125,18.5,397610288,524288000,75.8,Transferring
2026-03-06T12:34:58.147,19.5,420765588,524288000,80.3,Transferring
2026-03-06T12:34:59.164,20.5,448295852,524288000,85.5,Transferring
2026-03-06T12:35:00.205,21.6,478411882,524288000,91.2,Transferring
2026-03-06T12:35:01.256,22.6,478411882,524288000,91.2,Transferring
2026-03-06T12:35:02.314,23.7,478411882,524288000,91.2,Transferring
2026-03-06T12:35:03.362,24.7,507795102,524288000,96.9,Transferring
2026-03-06T12:35:04.388,25.8,524288000,524288000,100,Transferred
