Timestamp,ElapsedSeconds,Signal,RxRate,TxRate,Channel
2026-03-06T12:40:51.732,0.3,99,1201,1201,36
2026-03-06T12:40:56.862,5.4,99,1201,1201,36
2026-03-06T12:41:01.954,10.5,99,1201,1134,36
2026-03-06T12:41:07.113,15.7,99,1201,1134,36
2026-03-06T12:41:12.227,20.8,99,1201,1134,36
2026-03-06T12:41:17.321,25.9,97,1081,681,36
2026-03-06T12:41:22.435,31,99,1081,817,36
2026-03-06T12:41:27.526,36.1,99,1201,1201,36
2026-03-06T12:41:32.648,41.2,99,1201,1201,36
2026-03-06T12:41:37.749,46.3,99,1201,1201,36
2026-03-06T12:41:42.853,51.4,99,1201,1201,36
2026-03-06T12:41:47.944,56.5,99,1201,1201,36
2026-03-06T12:41:53.050,61.6,99,1201,1201,36
2026-03-06T12:41:58.143,66.7,99,1201,1201,36
2026-03-06T12:42:03.233,71.8,99,1201,1201,36
2026-03-06T12:42:08.337,76.9,99,1201,1201,36
2026-03-06T12:42:13.452,82,99,1201,1201,36
2026-03-06T12:42:18.557,87.1,99,1201,1201,36
2026-03-06T12:42:23.651,92.2,99,1201,1201,36
2026-03-06T12:42:28.753,97.3,99,1201,1201,36
2026-03-06T12:42:33.851,102.4,99,1201,1201,36
2026-03-06T12:42:38.977,107.6,99,1201,817,36
2026-03-06T12:42:44.089,112.7,99,1201,1201,36
2026-03-06T12:42:49.191,117.8,99,1201,1201,36
2026-03-06T12:42:54.286,122.9,99,1201,1201,36
2026-03-06T12:42:59.412,128,99,1201,1201,36
