Timestamp,ElapsedSeconds,Signal,RxRate,TxRate,Channel
2026-03-06T12:23:11.352,0.3,99,1201,1201,36
2026-03-06T12:23:16.490,5.5,99,1201,1201,36
2026-03-06T12:23:21.628,10.7,99,1201,1201,36
2026-03-06T12:23:26.781,15.8,99,1201,1201,36
2026-03-06T12:23:32.210,21.2,99,1201,1201,36
2026-03-06T12:23:37.326,26.4,99,1201,1201,36
2026-03-06T12:23:42.455,31.5,99,1201,1201,36
2026-03-06T12:23:47.592,36.6,99,1201,1201,36
2026-03-06T12:23:52.711,41.7,99,1201,1201,36
2026-03-06T12:23:57.827,46.9,99,1201,1201,36
2026-03-06T12:24:02.932,52,99,1201,1201,36
2026-03-06T12:24:08.016,57.1,99,1201,1201,36
2026-03-06T12:24:13.116,62.2,99,1201,1201,36
2026-03-06T12:24:18.204,67.2,99,1201,1201,36
2026-03-06T12:24:23.315,72.4,99,1201,1201,36
2026-03-06T12:24:28.413,77.4,99,1201,1201,36
2026-03-06T12:24:33.523,82.6,99,1201,1201,36
2026-03-06T12:24:38.638,87.7,99,1201,1201,36
2026-03-06T12:24:43.740,92.8,99,1201,1201,36
2026-03-06T12:24:48.833,97.9,99,1201,1201,36
2026-03-06T12:24:53.936,103,99,1201,1201,36
2026-03-06T12:24:59.039,108.1,99,1201,1201,36
2026-03-06T12:25:04.134,113.2,99,1201,1201,36
2026-03-06T12:25:09.224,118.3,99,1201,1201,36
2026-03-06T12:25:14.326,123.4,99,1201,1201,36
2026-03-06T12:25:19.431,128.5,99,1201,1201,36
