Timestamp,ElapsedSeconds,Signal,RxRate,TxRate,Channel
2026-03-06T12:49:07.582,0.2,99,1201,1201,36
2026-03-06T12:49:12.680,5.3,99,1201,1201,36
2026-03-06T12:49:17.770,10.4,99,1081,1201,36
2026-03-06T12:49:22.914,15.5,99,1081,1201,36
2026-03-06T12:49:28.037,20.6,99,961,919,36
2026-03-06T12:49:33.516,26.1,99,961,919,36
2026-03-06T12:49:38.701,31.3,99,961,961,36
2026-03-06T12:49:43.915,36.5,99,1201,1201,36
2026-03-06T12:49:49.016,41.6,99,1201,1201,36
2026-03-06T12:49:54.113,46.7,99,1201,1201,36
2026-03-06T12:49:59.206,51.8,99,1201,1201,36
2026-03-06T12:50:04.326,56.9,99,1201,907,36
2026-03-06T12:50:09.434,62,99,1201,1201,36
2026-03-06T12:50:14.540,67.1,99,1201,1201,36
2026-03-06T12:50:19.636,72.2,99,1201,1201,36
2026-03-06T12:50:24.773,77.4,99,1201,1201,36
2026-03-06T12:50:29.897,82.5,99,1201,1201,36
2026-03-06T12:50:34.999,87.6,99,1201,1201,36
2026-03-06T12:50:40.100,92.7,99,1201,1201,36
2026-03-06T12:50:45.216,97.8,99,1201,1201,36
2026-03-06T12:50:50.332,102.9,99,1201,1201,36
2026-03-06T12:50:55.445,108,99,1201,1201,36
2026-03-06T12:51:00.547,113.1,99,1201,1201,36
2026-03-06T12:51:05.657,118.3,99,1201,1201,36
2026-03-06T12:51:10.753,123.4,99,1201,1201,36
2026-03-06T12:51:15.869,128.5,99,1201,1201,36
